Category,Pillar,Element,Content
DIFFERENTIATORS,Quick-Hit,Statement 1,"Non-commissioned technicians — They're paid to solve problems, not sell products."
DIFFERENTIATORS,Quick-Hit,Statement 2,"The quote is the quote — Upfront pricing with no hidden fees."
DIFFERENTIATORS,Quick-Hit,Statement 3,"We'll show you — Photo documentation of everything we find."
DIFFERENTIATORS,Quick-Hit,Statement 4,"Right-sized solutions — Load calculations, not guesswork."
DIFFERENTIATORS,Quick-Hit,Statement 5,"We follow up — Next-day check-in on every service call."
DIFFERENTIATORS,Quick-Hit,Statement 6,"We stand behind it — [X]-year workmanship guarantee."

CAMPAIGNS,Second Opinion,Headline,"Before You Spend $8,000, Spend 30 Minutes With Us."
CAMPAIGNS,Second Opinion,Body,"Free second opinions. Because we've seen too many homeowners pay for work they didn't need."
CAMPAIGNS,Second Opinion,CTA,Get a Free Second Opinion

CAMPAIGNS,Truth Campaign,Headline,"Our Techs Aren't Paid to Sell You Anything."
CAMPAIGNS,Truth Campaign,Body,"We removed commissions so our team can focus on solving your problem."
CAMPAIGNS,Truth Campaign,CTA,Experience Pressure-Free Service

CAMPAIGNS,Right Fit,Headline,"Before We Recommend Anything, We Listen."
CAMPAIGNS,Right Fit,Body,"Every home is different. We design solutions that actually fit—installed with craftsmanship that lasts."
CAMPAIGNS,Right Fit,CTA,Get a Custom Assessment

CAMPAIGNS,Guarantee,Headline,"We Stand Behind Everything. In Writing."
CAMPAIGNS,Guarantee,Body,"Satisfaction guaranteed. On-time guaranteed. Workmanship guaranteed. We make promises we keep."
CAMPAIGNS,Guarantee,CTA,See Our Guarantees

TRUST SIGNALS,Header Bar,Display,"✓ Non-Commissioned Techs | ✓ Upfront Pricing | ✓ [X]-Year Guarantee | ✓ NATE Certified"
TRUST SIGNALS,Badge 1,Text,Non-Commissioned Technicians
TRUST SIGNALS,Badge 2,Text,Upfront Written Quotes
TRUST SIGNALS,Badge 3,Text,[X]-Year Workmanship Guarantee
TRUST SIGNALS,Badge 4,Text,100% Satisfaction Guarantee
TRUST SIGNALS,Badge 5,Text,NATE Certified Team
TRUST SIGNALS,Badge 6,Text,Serving [Coppell/DFW] Since [Year]

VOICE,Attribute 1,Honest,"Direct and clear, no hedging"
VOICE,Attribute 2,Expert,"Knowledgeable but not arrogant"
VOICE,Attribute 3,Warm,"Friendly and approachable"
VOICE,Attribute 4,Respectful,"Values customer's time and intelligence"
VOICE,Attribute 5,Confident,"Stands behind the work"
